Total nodes: 10318

First 200 node entries (instance, nodeLabel, x,y,z):
113: DILIANG-1, 113, (-350.000000, -400.004883, 2000.000000)
114: DILIANG-1, 114, (-350.000000, -350.004883, 2000.000000)
115: DILIANG-1, 115, (-350.000000, -300.004883, 2000.000000)
116: DILIANG-1, 116, (-350.000000, -250.004883, 2000.000000)
117: DILIANG-1, 117, (-350.000000, -200.004883, 2000.000000)
118: DILIANG-1, 118, (-350.000000, -150.004883, 2000.000000)
119: DILIANG-1, 119, (-350.000000, -100.004875, 2000.000000)
120: DILIANG-1, 120, (-350.000000, -50.004879, 2000.000000)
121: DILIANG-1, 121, (-350.000000, -0.004878, 2000.000000)
122: DILIANG-1, 122, (150.000000, -500.004883, 1950.000000)
123: DILIANG-1, 123, (150.000000, -450.004883, 1950.000000)
124: DILIANG-1, 124, (150.000000, -400.004883, 1950.000000)
125: DILIANG-1, 125, (150.000000, -350.004883, 1950.000000)
126: DILIANG-1, 126, (150.000000, -300.004883, 1950.000000)
127: DILIANG-1, 127, (150.000000, -250.004883, 1950.000000)
128: DILIANG-1, 128, (150.000000, -200.004883, 1950.000000)
129: DILIANG-1, 129, (150.000000, -150.004883, 1950.000000)
130: DILIANG-1, 130, (150.000000, -100.004875, 1950.000000)
131: DILIANG-1, 131, (150.000000, -50.004879, 1950.000000)
132: DILIANG-1, 132, (150.000000, -0.004878, 1950.000000)
133: DILIANG-1, 133, (100.000000, -500.004883, 1950.000000)
134: DILIANG-1, 134, (100.000000, -450.004883, 1950.000000)
135: DILIANG-1, 135, (100.000000, -400.004883, 1950.000000)
136: DILIANG-1, 136, (100.000000, -350.004883, 1950.000000)
137: DILIANG-1, 137, (100.000000, -300.004883, 1950.000000)
138: DILIANG-1, 138, (100.000000, -250.004883, 1950.000000)
139: DILIANG-1, 139, (100.000000, -200.004883, 1950.000000)
140: DILIANG-1, 140, (100.000000, -150.004883, 1950.000000)
141: DILIANG-1, 141, (100.000000, -100.004875, 1950.000000)
142: DILIANG-1, 142, (100.000000, -50.004879, 1950.000000)
143: DILIANG-1, 143, (100.000000, -0.004878, 1950.000000)
144: DILIANG-1, 144, (50.000000, -500.004883, 1950.000000)
145: DILIANG-1, 145, (50.000000, -450.004883, 1950.000000)
146: DILIANG-1, 146, (50.000000, -400.004883, 1950.000000)
147: DILIANG-1, 147, (50.000000, -350.004883, 1950.000000)
148: DILIANG-1, 148, (50.000000, -300.004883, 1950.000000)
149: DILIANG-1, 149, (50.000000, -250.004883, 1950.000000)
150: DILIANG-1, 150, (50.000000, -200.004883, 1950.000000)
151: DILIANG-1, 151, (50.000000, -150.004883, 1950.000000)
152: DILIANG-1, 152, (50.000000, -100.004875, 1950.000000)
153: DILIANG-1, 153, (50.000000, -50.004879, 1950.000000)
154: DILIANG-1, 154, (50.000000, -0.004878, 1950.000000)
155: DILIANG-1, 155, (0.000000, -500.004883, 1950.000000)
156: DILIANG-1, 156, (0.000000, -450.004883, 1950.000000)
157: DILIANG-1, 157, (0.000000, -400.004883, 1950.000000)
158: DILIANG-1, 158, (0.000000, -350.004883, 1950.000000)
159: DILIANG-1, 159, (0.000000, -300.004883, 1950.000000)
160: DILIANG-1, 160, (0.000000, -250.004883, 1950.000000)
161: DILIANG-1, 161, (0.000000, -200.004883, 1950.000000)
162: DILIANG-1, 162, (0.000000, -150.004883, 1950.000000)
163: DILIANG-1, 163, (0.000000, -100.004875, 1950.000000)
